Affinity Row ID;Organization Id;Name;Website;Status;Description;Owner;Investment Size;Last Email;Reminders;CB Location (Address) - Not available for export;CB Location (City) - Not available for export;CB Location (State) - Not available for export;CB Location (Country) - Not available for export;CB Industry - Not available for export;CB Investment Stage - Not available for export;Source;CB Last Funding Date - Not available for export;CB Investors - Not available for export;Lost Reason;Date Added;CB Description - Not available for export
110549018;286182967;Let's Lama;;Call / Meeting -> move to dealflow;;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;LinkedIn Navigator;;;;06/13/2022;
110547062;286181805;Steep;steep.app;Outreach done;;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;LinkedIn Navigator;;;;06/13/2022;
110546996;286181449;Jetty;usejetty.com;Outreach done;;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;LinkedIn Navigator;;;;06/13/2022;
110510705;286177187;tastric;tastric.com;1 Lost;Das Unternehmen entwickelt Software zur Analyse von Kunden- und Marktdaten für Weingüter.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;1 Sector / Business Model;06.12.2022;
110510703;286177186;Studio Sterneck & Co. KG;studio-sterneck.com;1 Lost;Das Unternehmen entwickelt Videospiele für den Computer und mobile Geräte.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;2 Out of focus;06.12.2022;
110510701;286177185;mousebouncer;mousebouncer.com;Incoming;Das Unternehmen entwickelt eine noch nicht näher bekannte Katzenklappe, welche verhindern soll, dass Katzen Mäuse oder andere Beutetiere in das Haus bringen.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510700;286177184;MedTank;medtank.de;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Produkte im medizinischen Bereich unter Verwendung von künstlicher Intelligenz.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510699;286177183;ImagiNew Playhome;imaginew-playhome.de;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Spielzeuge für Kinder.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510698;286177182;Gubbi;gubbi.de;Incoming;Das Unternehmen entwickelt eine noch nicht näher bekannte Plattform, auf der digitale Vermögenswerte gehandelt werden können sollen.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510694;285961649;The Takeover;the-takeover.com;Incoming;Takeover is a movement for creators. A DAO co-owned by anyone who creates. 100% fair and transparent. Together we build the tools and infrastructure for a fairer creator economy.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510693;286177181;NJORDVIND;njordvind.com;Incoming;Das Unternehmen entwickelt vertikale Windturbinen für urbane Gebiete. Diese sollen besonders effizient sein und eignen sich durch ihr geringes Gewicht und geringe Lautstärke beispielsweise für die Installation auf Hausdächern.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510691;223763476;lab10 collective;lab10.coop;Incoming;Das Unternehmen entwickelt eine Kamera, die an einem Laborkittel getragen werden kann und mit Hilfe einer Bildverarbeitungssoftware verschiedene Vorgänge im Labor erkennen und in einem Textdokument dokumentieren soll. Wissenschaftler sollen so effizienter arbeiten, indem sie weniger Zeit mit der Dokumentation ihrer Arbeit verbringen müssen.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510690;286177180;Greymaster;greymaster.de;1 Lost;Das Unternhemen entwickelt noch nicht näher bekannte Campingprodukte.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;2 Out of focus;06.12.2022;
110510688;286177177;FroGoodies;frogoodies.com;Incoming;Das Unternehmen entwickelt exotische Speisen, welche tiefgefroren europaweit an Privatpersonen oder für kleinere Veranstaltungen versendet werden können sollen.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510685;286177176;cx-world;cx-world.com;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Fahrräder und entsprechendes Zubehör.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
